[Faller\12\Open\patient12openEyes.txt]
500 samples
20 Markov chains

(3,5)(4,6)(4,5)(2,4)(1,4)(1,5)(2,6)(6,9)(7,10)(5,9)(2,6)(3,4)(8,9)(10,10)(9,9)(6,6)(3,3)(1,2)(1,1)(2,2)(2,2)(2,3)(4,4)(6,6)(7,7)(6,6)
(6,6)(4,5)(1,3)(4,4)(6,6)(6,6)(5,5)(3,3)(1,2)(1,1)(2,2)(2,3)(2,3)(2,3)(1,1)(1,1)(2,2)(2,1)(1,1)(1,1)(2,2)(3,3)(2,2)(1,1)(1,1)(2,2)
(2,2)(2,3)(2,3)(5,5)(6,6)(4,4)(2,2)(3,3)(5,5)(5,5)(3,3)(1,2)(1,2)(2,2)(2,3)(2,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(2,2)(1,2)(1,2)
(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,2)(3,3)(3,4)(3,3)(2,2)(1,2)(4,4)(4,4)(3,3)(1,2)(1,1)(1,1)(1,2)
(1,2)(2,2)(1,1)(1,1)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(3,3)(3,3)(2,2)(1,1)(1,2)(2,2)(1,2)(1,1)(2,2)(4,4)(4,4)(3,3)(2,2)(1,1)(4,4)
(4,4)(5,6)(5,5)(2,3)(1,3)(2,3)(3,4)(4,5)(4,5)(3,3)(2,3)(1,2)(1,1)(2,2)(2,2)(3,3)(3,3)(3,3)(2,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(2,3)(4,5)(4,5)(2,3)(1,2)(4,5)(6,7)(6,7)(4,5)(2,3)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(1,2)(2,2)(2,2)(2,3)(2,3)(1,2)(2,3)
(2,3)(2,4)(2,4)(1,3)(2,3)(4,4)(4,4)(3,3)(2,3)(2,2)(2,2)(2,2)(2,2)(1,2)(1,1)(1,2)(1,1)(1,1)(1,1)(2,2)(2,2)(2,2)(2,2)(2,2)(1,2)(1,1)
(1,1)(1,2)(2,2)(1,1)(1,1)(1,2)(2,3)(2,3)(2,3)(2,2)(1,1)(1,1)(1,1)(1,2)(2,2)(2,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,2)(2,2)(2,3)(2,3)(3,3)(3,3)(2,2)(2,2)(2,2)(1,1)(1,1)(3,3)(5,5)(5,5)(4,4)(2,2)(2,2)(4,4)
(4,4)(4,5)(3,4)(1,3)(2,3)(2,3)(2,2)(1,1)(1,2)(2,2)(1,2)(1,1)(1,1)(1,1)(2,2)(2,2)(2,3)(2,3)(2,3)(3,3)(3,3)(2,2)(2,2)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,2)(1,2)(1,1)(1,1)(1,1)(2,2)(2,2)(2,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(2,2)(2,2)(2,2)(1,2)
(1,2)(1,2)(1,2)(1,1)(1,1)(2,3)(2,2)(1,1)(1,2)(3,4)(4,5)(3,4)(2,3)(2,2)(2,2)(2,2)(2,2)(2,3)(2,3)(2,2)(2,2)(2,2)(2,2)(2,2)(1,2)(1,2)
(1,2)(1,2)(1,2)(1,2)(1,2)(2,2)(1,2)(2,2)(2,3)(3,3)(3,3)(3,4)(3,4)(3,3)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(1,2)(1,2)(2,3)(2,3)(2,3)(2,2)
(2,2)(1,1)(1,1)(2,2)(1,1)(2,2)(3,3)(3,3)(3,3)(3,3)(1,2)(1,2)(1,2)(2,3)(2,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(2,3)(3,3)(3,4)(3,4)(3,4)(3,3)(3,3)(3,3)(3,3)(2,2)(2,2)(2,3)(2,2)(1,3)
(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(1,2)(2,2)(2,2)(2,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(2,2)(2,3)(3,3)(3,3)(2,3)(2,2)(1,1)(1,1)(1,1)(1,1)(2,2)(2,2)
(2,2)(2,2)(2,3)(2,3)(2,2)(2,2)(2,3)(2,2)(2,2)(2,2)(1,2)(1,2)(1,2)(2,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(3,3)(4,5)(3,4)(2,3)(1,1)(2,3)(3,4)(3,4)(1,3)(1,2)(2,2)(2,2)(2,2)
__________________________________________________________________________________________
