Faller : False
Time X Y
0.0 -0.920077183172 -2.24408138896
40.0 -0.92363293391 -2.27032154962
80.0 -0.913808046352 -2.33455537712
120.0 -0.886677483307 -2.40915133002
160.0 -0.869049144247 -2.52123230381
200.0 -0.875228882813 -2.67724885163
240.0 -0.88764502695 -2.83601358843
280.0 -0.854678290497 -2.96498374884
320.0 -0.831901950655 -3.11428832058
360.0 -0.862449095891 -3.25135636142
400.0 -0.891735756039 -3.38464444556
440.0 -0.865190733088 -3.48338620286
480.0 -0.878305259663 -3.52021460668
520.0 -0.904573885331 -3.55042928808
560.0 -0.886114160326 -3.57311297381
600.0 -0.839802884049 -3.59178238075
640.0 -0.815662304193 -3.59306008689
680.0 -0.775273559304 -3.66338457216
720.0 -0.732176614687 -3.75839495801
760.0 -0.705187945608 -3.82665490654
800.0 -0.711821414136 -3.89643994347
840.0 -0.694242149016 -3.95307042151
880.0 -0.638231278485 -3.97446593572
920.0 -0.596182674967 -4.00886507316
960.0 -0.565978815582 -4.01205259382
1000.0 -0.52943956941 -3.99386882762
1040.0 -0.506047808035 -4.00924341347
1080.0 -0.47422153605 -4.02579060241
1120.0 -0.450218017684 -4.03929023992
1160.0 -0.433162891915 -4.01811560537
1200.0 -0.425118129293 -3.92706109735
1240.0 -0.381060915656 -3.85933072905
1280.0 -0.307990595637 -3.81600909519
1320.0 -0.295529390306 -3.76779099316
1360.0 -0.301653806372 -3.72384930553
1400.0 -0.260741221637 -3.71827660531
1440.0 -0.225862819743 -3.67510067741
1480.0 -0.227859018024 -3.6686918427
1520.0 -0.212284336429 -3.67789527094
1560.0 -0.185480988335 -3.69416277332
1600.0 -0.199891929584 -3.72002709158
1640.0 -0.221240321962 -3.75220501351
1680.0 -0.224878471977 -3.80808277682
1720.0 -0.205837692752 -3.90635991553
1760.0 -0.162734258589 -3.94381489262
1800.0 -0.162307104841 -3.92748695059
1840.0 -0.174572933023 -3.9353726558
1880.0 -0.155677197988 -3.94089784843
1920.0 -0.132676068212 -3.92717929079
1960.0 -0.135704607906 -3.9248885936
2000.0 -0.115091291476 -3.92996394072
2040.0 -0.0972485471585 -3.92907058052
2080.0 -0.0829152413882 -3.90462514033
2120.0 -0.095499030196 -3.86731445821
2160.0 -0.121960098589 -3.82332308107
2200.0 -0.189438317288 -3.82114576525
2240.0 -0.247911024964 -3.81833260625
2280.0 -0.262208916152 -3.7859810887
2320.0 -0.289726832707 -3.7589688264
2360.0 -0.316670793809 -3.74874235736
2400.0 -0.341859571191 -3.73010150871
2440.0 -0.364255446338 -3.67537029368
2480.0 -0.414383145069 -3.64276823967
2520.0 -0.457563143945 -3.64983626896
2560.0 -0.481323371661 -3.67302834339
2600.0 -0.510608340373 -3.72671476692
2640.0 -0.542800411486 -3.79156685384
2680.0 -0.545218735832 -3.85464985087
2720.0 -0.569977634608 -3.92317590241
2760.0 -0.567627261926 -3.98495658762
2800.0 -0.543537672076 -4.08154737445
2840.0 -0.612054615308 -4.19126341834
2880.0 -0.692775052156 -4.23840017366
2920.0 -0.774226536763 -4.20200496369
2960.0 -0.846641097799 -4.12052318037
3000.0 -0.945607568213 -3.97513988635
3040.0 -1.05591890069 -3.89540735162
3080.0 -1.12245493855 -3.84455838952
3120.0 -1.18499455402 -3.75635784378
3160.0 -1.25817540577 -3.6592657801
3200.0 -1.29238732029 -3.64093826827
3240.0 -1.38951577037 -3.59391779504
3280.0 -1.4239605168 -3.54961407794
3320.0 -1.47810343078 -3.50712934511
3360.0 -1.51150591826 -3.50677533203
3400.0 -1.52494378063 -3.53837323352
3440.0 -1.53869557202 -3.59183606399
3480.0 -1.53430232002 -3.64622107912
3520.0 -1.51241911949 -3.69942976187
3560.0 -1.43605976387 -3.77042644156
3600.0 -1.33750645497 -3.84895929926
3640.0 -1.27762792484 -3.8665810404
3680.0 -1.20350559948 -3.81481929221
3720.0 -1.12584245188 -3.74642891661
