Faller : False
Time X Y
0.0 -1.05677273035 -2.24288959127
40.0 -1.07258602318 -2.26275811539
80.0 -1.11513104585 -2.33843790796
120.0 -1.14087439081 -2.47197835872
160.0 -1.12986673067 -2.55874321431
200.0 -1.10388865084 -2.67063060774
240.0 -1.07403337691 -2.8494969254
280.0 -1.07941041903 -2.94790407915
320.0 -1.08843349684 -2.99927079765
360.0 -1.08971074323 -3.05228214024
400.0 -1.13845703988 -3.0155782732
440.0 -1.1343130458 -2.87014140951
480.0 -1.12978054313 -2.81324389438
520.0 -1.14232019938 -2.8264019797
560.0 -1.11880283164 -2.83564455685
600.0 -1.08467503874 -2.86206325744
640.0 -1.08371590613 -2.90735114759
680.0 -1.08560494284 -2.91058419114
720.0 -1.08979223478 -2.91587678546
760.0 -1.08367493833 -2.89002381954
800.0 -1.09446304138 -2.81504070172
840.0 -1.13238733973 -2.77993411076
880.0 -1.16850113737 -2.71642807252
920.0 -1.16285984767 -2.60717257852
960.0 -1.11083398372 -2.4960561066
1000.0 -1.06489290254 -2.40122992619
1040.0 -1.06413931012 -2.36313813044
1080.0 -1.0813222186 -2.45157010195
1120.0 -1.07984100234 -2.57182150317
1160.0 -1.01486107221 -2.64005260326
1200.0 -0.986830609863 -2.73111384615
1240.0 -0.980336045836 -2.82771323748
1280.0 -0.94534534953 -2.84284601664
1320.0 -0.902580355749 -2.7622201086
1360.0 -0.882354663237 -2.70546605372
1400.0 -0.845628927823 -2.70769590846
1440.0 -0.823477797762 -2.68955381117
1480.0 -0.82871612207 -2.57120368521
1520.0 -0.830785678625 -2.48948461605
1560.0 -0.795080991297 -2.49851976279
1600.0 -0.815965466292 -2.45867721414
1640.0 -0.871716392608 -2.41657747844
1680.0 -0.929201807437 -2.47036269588
1720.0 -0.920443816054 -2.56224057596
1760.0 -0.943979538246 -2.54623135902
1800.0 -0.990198294675 -2.51286504903
1840.0 -1.00707142429 -2.62215544923
1880.0 -1.01285479589 -2.77941058592
1920.0 -1.03911303346 -2.94758150357
1960.0 -1.09675078334 -3.09204054475
2000.0 -1.12597487259 -3.27039289626
2040.0 -1.14578855005 -3.44316996505
2080.0 -1.17143134607 -3.50047574505
2120.0 -1.20943042521 -3.4521055028
2160.0 -1.24999369225 -3.41441153003
2200.0 -1.26492066196 -3.41956397806
2240.0 -1.23441151124 -3.46728141893
2280.0 -1.21578075079 -3.46547502964
2320.0 -1.19542746868 -3.33481079659
2360.0 -1.16143179607 -3.23895956286
2400.0 -1.17211182115 -3.25166217214
2440.0 -1.16867493477 -3.26062995372
2480.0 -1.13222503025 -3.30328463597
2520.0 -1.10151046283 -3.2933114147
2560.0 -1.11095175174 -3.21089956958
2600.0 -1.08683205293 -3.24337608917
2640.0 -1.08034955184 -3.36339000393
2680.0 -1.06479487768 -3.44174627077
2720.0 -1.01381701516 -3.49407757612
2760.0 -0.973519217134 -3.55268403957
2800.0 -0.944228723801 -3.61114331494
2840.0 -0.977798953987 -3.54763072331
2880.0 -0.971277742314 -3.52472700406
2920.0 -0.922056860424 -3.60497645152
2960.0 -0.878666182829 -3.64316494327
3000.0 -0.876121575501 -3.55857690665
3040.0 -0.908881805431 -3.43142772335
3080.0 -0.881857897405 -3.40935196385
3120.0 -0.847552576143 -3.40742003604
3160.0 -0.864977295583 -3.42071417492
3200.0 -0.872352697035 -3.51976703548
3240.0 -0.828307218053 -3.6697036302
3280.0 -0.805389387968 -3.72639801647
3320.0 -0.843305089838 -3.67710771457
3360.0 -0.887870743248 -3.5442075076
3400.0 -0.904302199125 -3.45545414458
3440.0 -0.873737410233 -3.48627613412
3480.0 -0.88341091756 -3.45972514974
3520.0 -0.891995079582 -3.32005527957
3560.0 -0.888844449399 -3.20017332229
3600.0 -0.856072314635 -3.2292750196
3640.0 -0.858613586287 -3.22798961161
3680.0 -0.872587454021 -3.11612223568
3720.0 -0.879342629717 -3.02899777762
3760.0 -0.911904762271 -2.96556361281
3800.0 -0.941740741895 -2.86925697529
3840.0 -0.942140423586 -2.85982641106
3880.0 -0.965037251799 -2.93009520597
3920.0 -1.03250640637 -2.92277025906
3960.0 -1.07300158001 -2.81702479191
4000.0 -1.12970720724 -2.65572077822
4040.0 -1.17149187094 -2.55052208334
4080.0 -1.16467018758 -2.57521066439
4120.0 -1.18351485797 -2.5894613861
4160.0 -1.21962904431 -2.48296581818
4200.0 -1.24750023423 -2.4689359869
4240.0 -1.25392064597 -2.563430902
4280.0 -1.272353088 -2.58486858136
4320.0 -1.30493818909 -2.55048547717
4360.0 -1.31401954463 -2.5632329593
4400.0 -1.30579954219 -2.59861124355
4440.0 -1.32770227757 -2.62258157365
4480.0 -1.38877996595 -2.61218029067
4520.0 -1.42714255361 -2.53508964914
4560.0 -1.43544037803 -2.48225015679
4600.0 -1.43982922032 -2.44804028075
4640.0 -1.4452973559 -2.45081228757
4680.0 -1.44138137711 -2.52194487251
4720.0 -1.41974947155 -2.62971924668
4760.0 -1.41936441282 -2.71504878477
4800.0 -1.43575293748 -2.73590791161
4840.0 -1.43725681698 -2.75231845342
4880.0 -1.3991927325 -2.8002846246
